instruction,intent,instruction_hi,intent_hi
cancelling purchase {{Order Number}},cancel_order,रद्द करना {{ऑर्डर नंबर}}},आदेश रद्द
want help cancelling purchase {{Order Number}},cancel_order,खरीद रद्द करने में मदद करना चाहते हैं {{ऑर्डर नंबर}},आदेश रद्द
help with canceling purchase {{Order Number}},cancel_order,खरीद को रद्द करने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
I don't know how I colud cancel order {{Order Number}},cancel_order,मुझे नहीं पता कि मैं ऑर्डर {{ऑर्डर नंबर}} को कैसे रद्द कर सकता हूं,आदेश रद्द
where can i cancel purchase {{Order Number}},cancel_order,मैं कहां से खरीदें {{ऑर्डर नंबर}} को रद्द कर सकता हूं,आदेश रद्द
help me cancel purchase {{Order Number}},cancel_order,मुझे खरीदने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
can you help me cancelong purchase {{Order Number}}?,cancel_order,क्या आप मुझे {{ऑर्डर नंबर}} खरीदने में मदद कर सकते हैं?,आदेश रद्द
i dont know what to do to cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि खरीद रद्द करने के लिए क्या करना है {{ऑर्डर नंबर}},आदेश रद्द
i have problems with canceling order {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने की समस्या है {{ऑर्डर नंबर}},आदेश रद्द
I want to cancel order {{Order Number}},cancel_order,मैं आदेश {{ऑर्डर नंबर}} रद्द करना चाहता हूं,आदेश रद्द
"I can't afford order {{Order Number}}, could you cancel it?",cancel_order,"मैं आदेश {{ऑर्डर नंबर}} नहीं खरीद सकता, क्या आप इसे रद्द कर सकते हैं?",आदेश रद्द
i want assistance cancelling order {{Order Number}},cancel_order,मैं सहायता रद्द करने के आदेश को रद्द करना चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
i want help to cancel order {{Order Number}},cancel_order,मैं आदेश {{ऑर्डर नंबर}} को रद्द करने में मदद चाहता हूं,आदेश रद्द
what do I need to do to cancel purchase {{Order Number}}?,cancel_order,खरीद को रद्द करने के लिए मुझे क्या करने की आवश्यकता है {{ऑर्डर नंबर}}?,आदेश रद्द
i want help cancelling order {{Order Number}},cancel_order,मैं आदेश रद्द करने में मदद चाहता हूं {{ऑर्डर नंबर}}},आदेश रद्द
I do not know how to cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि खरीद को रद्द करने का तरीका {{ऑर्डर नंबर}},आदेश रद्द
"I cannot afford my last item, how can I cancel the order?",cancel_order,"मैं अपने अंतिम आइटम को बर्दाश्त नहीं कर सकता, मैं ऑर्डर कैसे रद्द कर सकता हूं?",आदेश रद्द
"I don't want this item, cancel order {{Order Number}}",cancel_order,"मुझे यह आइटम नहीं चाहिए, आदेश रद्द करें {{ऑर्डर नंबर}}",आदेश रद्द
I no longer want order {{Order Number}},cancel_order,मैं अब आदेश {{ऑर्डर नंबर}} नहीं चाहता,आदेश रद्द
can you help me to cancel order {{Order Number}}?,cancel_order,क्या आप मुझे आदेश {{ऑर्डर नंबर}} रद्द करने में मदद कर सकते हैं?,आदेश रद्द
cancelling order {{Order Number}},cancel_order,रद्द करना आदेश {{ऑर्डर नंबर}},आदेश रद्द
"I do not want this item, I try to cancel order {{Order Number}}",cancel_order,"मुझे यह आइटम नहीं चाहिए, मैं आदेश {{ऑर्डर नंबर}} को रद्द करने का प्रयास करता हूं",आदेश रद्द
what do I have to do to cancel order {{Order Number}}?,cancel_order,ऑर्डर {{ऑर्डर नंबर}} को रद्द करने के लिए मुझे क्या करना होगा?,आदेश रद्द
I can no longer afford order {{Order Number}},cancel_order,मैं अब आदेश नहीं दे सकता {{ऑर्डर नंबर}},आदेश रद्द
I need help canceling order {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
I have problems with canceling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में समस्या है {{ऑर्डर नंबर}},आदेश रद्द
i want help canceling order {{Order Number}},cancel_order,मैं आदेश रद्द करने में मदद चाहता हूं {{ऑर्डर नंबर}}},आदेश रद्द
help with canceling purchase {{Order Number}},cancel_order,खरीद को रद्द करने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
I don't know how to cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि कैसे खरीदें {{ऑर्डर नंबर}} को रद्द करें,आदेश रद्द
"I do not want my last bloody item, cancel order {{Order Number}}",cancel_order,"मैं अपना अंतिम खूनी वस्तु नहीं चाहता, आदेश रद्द करें {{ऑर्डर नंबर}}",आदेश रद्द
can ya help me to cancel order {{Order Number}},cancel_order,क्या आप मुझे आदेश {{ऑर्डर नंबर}} रद्द करने में मदद कर सकते हैं,आदेश रद्द
i dont want order {{Order Number}},cancel_order,मैं आदेश {{आदेश संख्या}} नहीं चाहता,आदेश रद्द
could you help me to cancel purchase {{Order Number}}?,cancel_order,क्या आप मुझे {{ऑर्डर नंबर}} खरीदने में मदद कर सकते हैं?,आदेश रद्द
have problems wth cancelling order {{Order Number}},cancel_order,ऑर्डर को रद्द करने में समस्याएं {{ऑर्डर नंबर}}},आदेश रद्द
I need help with cancelling purchase {{Order Number}},cancel_order,मुझे खरीद को रद्द करने में मदद चाहिए {{ऑर्डर नंबर}},आदेश रद्द
i dont want this artilce cancel order {{Order Number}},cancel_order,मैं नहीं चाहता कि यह लेख रद्द करें आदेश {{ऑर्डर नंबर}},आदेश रद्द
I cannot afford order {{Order Number}},cancel_order,मैं आदेश नहीं दे सकता {{ऑर्डर नंबर}},आदेश रद्द
need help with canceling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ मदद की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
I try to cancel purchase {{Order Number}},cancel_order,मैं खरीद को रद्द करने का प्रयास करता हूं {{ऑर्डर नंबर}},आदेश रद्द
"I bought some article, help canceling order {{Order Number}}",cancel_order,"मैंने कुछ लेख खरीदे, ऑर्डर रद्द करने में मदद करें {{ऑर्डर नंबर}}",आदेश रद्द
can you help me cancelling oredr {{Order Number}}?,cancel_order,क्या आप मुझे आदेश {{ऑर्डर नंबर}} रद्द करने में मदद कर सकते हैं?,आदेश रद्द
help  with cancelling order {{Order Number}},cancel_order,ऑर्डर रद्द करने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
assistance to cancel purchase {{Order Number}},cancel_order,खरीद रद्द करने के लिए सहायता {{ऑर्डर नंबर}},आदेश रद्द
help to cancel purchase {{Order Number}},cancel_order,खरीद रद्द करने में सहायता {{ऑर्डर नंबर}},आदेश रद्द
can you help me cancelling order {{Order Number}}?,cancel_order,क्या आप मुझे आदेश {{ऑर्डर नंबर}} रद्द करने में मदद कर सकते हैं?,आदेश रद्द
i dont want purchase {{Order Number}},cancel_order,मैं {{ऑर्डर नंबर}} खरीदना नहीं चाहता,आदेश रद्द
canmcel order {{Order Number}},cancel_order,रद्द करें आदेश {{ऑर्डर नंबर}},आदेश रद्द
help cancelling my bloody purchase,cancel_order,मेरी खूनी खरीद को रद्द करने में मदद करें,आदेश रद्द
assistance cancelling purchase {{Order Number}},cancel_order,सहायता रद्द खरीद {{ऑर्डर नंबर}},आदेश रद्द
can you help me to cancel order {{Order Number}} ?,cancel_order,क्या आप मुझे आदेश {{ऑर्डर नंबर}} रद्द करने में मदद कर सकते हैं?,आदेश रद्द
I need assistance with canceling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने के साथ सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
is it possible to cancel purchase {{Order Number}},cancel_order,क्या खरीद रद्द करना संभव है {{ऑर्डर नंबर}}},आदेश रद्द
canceling order,cancel_order,रद्द करने का आदेश,आदेश रद्द
problems with cancelling order {{Order Number}},cancel_order,आदेश रद्द करने के साथ समस्याएं {{ऑर्डर नंबर}},आदेश रद्द
what do I have to do to cancel purchase {{Order Number}}?,cancel_order,खरीद को रद्द करने के लिए मुझे क्या करना होगा {{ऑर्डर नंबर}}?,आदेश रद्द
I need assistance canceling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
I want help cancelling purchase {{Order Number}},cancel_order,मैं खरीद को रद्द करने में मदद करना चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
i want help canceling order {{Order Number}},cancel_order,मैं आदेश रद्द करने में मदद चाहता हूं {{ऑर्डर नंबर}}},आदेश रद्द
I want assistance to cancle purchase {{Order Number}},cancel_order,मैं खरीद रद्द करने के लिए सहायता चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
i do not know how to cancel purchasw {{Order Number}},cancel_order,मुझे नहीं पता कि कैसे खरीदें {{ऑर्डर नंबर}} को रद्द करें,आदेश रद्द
question about cancelling purchase {{Order Number}},cancel_order,खरीद रद्द करने के बारे में प्रश्न {{ऑर्डर नंबर}},आदेश रद्द
help me cancel purchase {{Order Number}},cancel_order,मुझे खरीदने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
i dont want purchase {{Order Number}} could i cancel it,cancel_order,मैं नहीं चाहता कि {{ऑर्डर नंबर}} मैं इसे रद्द कर सकता हूं,आदेश रद्द
i obught some item help me canceling order {{Order Number}},cancel_order,"मैंने कुछ आइटम खरीदे हैं, मुझे आदेश रद्द करने में मदद करें {{ऑर्डर नंबर}}}",आदेश रद्द
I'm trying to cancel purchase {{Order Number}},cancel_order,मैं खरीद को रद्द करने की कोशिश कर रहा हूं {{ऑर्डर नंबर}},आदेश रद्द
problems with canceling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ समस्याएं {{ऑर्डर नंबर}},आदेश रद्द
cancelling order {{Order Number}},cancel_order,रद्द करना आदेश {{ऑर्डर नंबर}},आदेश रद्द
canceling purchase {{Order Number}},cancel_order,खरीद रद्द करें {{ऑर्डर नंबर}},आदेश रद्द
i dont khow how to cancel order {{Order Number}},cancel_order,मुझे नहीं पता कि ऑर्डर {{ऑर्डर नंबर}} को कैसे रद्द करें,आदेश रद्द
I need assistance cancelling order {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने में सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
how can I cancel purchase {{Order Number}}?,cancel_order,मैं खरीद {{ऑर्डर नंबर}} कैसे रद्द कर सकता हूं?,आदेश रद्द
I can no longer afford purchase {{Order Number}},cancel_order,मैं अब खरीदारी नहीं कर सकता {{ऑर्डर नंबर}}},आदेश रद्द
I want help to cancle purchase {{Order Number}},cancel_order,मैं खरीद को रद्द करने के लिए {{ऑर्डर नंबर}} को रद्द करना चाहता हूं,आदेश रद्द
I can't afford order {{Order Number}},cancel_order,मैं आदेश नहीं दे सकता {{ऑर्डर नंबर}},आदेश रद्द
canmcel order {{Order Number}},cancel_order,रद्द करें आदेश {{ऑर्डर नंबर}},आदेश रद्द
help me canceling purchase {{Order Number}},cancel_order,खरीद रद्द करने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
I try to cancel purchase {{Order Number}},cancel_order,मैं खरीद को रद्द करने का प्रयास करता हूं {{ऑर्डर नंबर}},आदेश रद्द
I don't want purchase {{Order Number}},cancel_order,मैं {{ऑर्डर नंबर}} खरीद नहीं चाहता,आदेश रद्द
I need help with cancelling purchase {{Order Number}},cancel_order,मुझे खरीद को रद्द करने में मदद चाहिए {{ऑर्डर नंबर}},आदेश रद्द
I have got to cancel purcahse {{Order Number}},cancel_order,मुझे खरीद रद्द करने के लिए मिला है {{ऑर्डर नंबर}}},आदेश रद्द
help me to cancel purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में मदद करें {{ऑर्डर नंबर}}},आदेश रद्द
I need help cancelling oredr {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
help me canceling purchase {{Order Number}},cancel_order,खरीद रद्द करने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
i want help canceling order {{Order Number}},cancel_order,मैं आदेश रद्द करने में मदद चाहता हूं {{ऑर्डर नंबर}}},आदेश रद्द
I need help to cancel order {{Order Number}},cancel_order,मुझे ऑर्डर {{ऑर्डर नंबर}} को रद्द करने में सहायता की आवश्यकता है,आदेश रद्द
I want assistance to cancel purchase {{Order Number}},cancel_order,मैं खरीद रद्द करने के लिए सहायता चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
I don't know how I can cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि मैं {{ऑर्डर नंबर}} खरीद को कैसे रद्द कर सकता हूं,आदेश रद्द
cance order {{Order Number}},cancel_order,रद्द करें आदेश {{ऑर्डर नंबर}},आदेश रद्द
problems with cancelling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ समस्याएं {{ऑर्डर नंबर}},आदेश रद्द
need assistance to cancel order {{Order Number}},cancel_order,आदेश को रद्द करने के लिए सहायता की आवश्यकता है {{आदेश संख्या}},आदेश रद्द
I no longerr want purchase {{Order Number}},cancel_order,मैं अब {{ऑर्डर नंबर}} खरीदना नहीं चाहता,आदेश रद्द
I need assistance canceling order {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने में सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
i have to cancel purchase {{Order Number}},cancel_order,मुझे खरीद को रद्द करना होगा {{ऑर्डर नंबर}},आदेश रद्द
i dont want order {{Order Number}},cancel_order,मैं आदेश {{आदेश संख्या}} नहीं चाहता,आदेश रद्द
I need help canceling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
i do not know how i can cancel order {{Order Number}},cancel_order,मुझे नहीं पता कि मैं ऑर्डर {{ऑर्डर नंबर}} को कैसे रद्द कर सकता हूं,आदेश रद्द
canceling purchase {{Order Number}},cancel_order,खरीद रद्द करें {{ऑर्डर नंबर}},आदेश रद्द
I want assistance canceling purchase {{Order Number}},cancel_order,मैं खरीद रद्द करने की सहायता चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
assistance with cancelling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ सहायता {{ऑर्डर नंबर}},आदेश रद्द
problem witth cancelling order {{Order Number}},cancel_order,ऑर्डर रद्द करने के साथ समस्या {{ऑर्डर नंबर}},आदेश रद्द
I want assistance to cancel purchase {{Order Number}},cancel_order,मैं खरीद रद्द करने के लिए सहायता चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
"I bought some items, help canceling order {{Order Number}}",cancel_order,"मैंने कुछ आइटम खरीदे, ऑर्डर रद्द करने में मदद करें {{ऑर्डर नंबर}}",आदेश रद्द
I need assistance with cancelling order {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने के साथ सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
I need assistance cancelling purcjase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
i dont want order {{Order Number}},cancel_order,मैं आदेश {{आदेश संख्या}} नहीं चाहता,आदेश रद्द
I can no longer afford purchase {{Order Number}},cancel_order,मैं अब खरीदारी नहीं कर सकता {{ऑर्डर नंबर}}},आदेश रद्द
what do i need to do to cancel order {{Order Number}},cancel_order,आदेश {{ऑर्डर नंबर}} को रद्द करने के लिए मुझे क्या करने की आवश्यकता है,आदेश रद्द
I need assistance canceling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
i need assistance with canceling order {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने के साथ सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
I can't pay for purchase {{Order Number}},cancel_order,मैं {{ऑर्डर नंबर}} खरीदने के लिए भुगतान नहीं कर सकता,आदेश रद्द
I do not want purchase {{Order Number}},cancel_order,मैं {{ऑर्डर नंबर}} खरीद नहीं चाहता,आदेश रद्द
cancel purchase732201349959,cancel_order,खरीदें खरीदें 732201349959,आदेश रद्द
I do not know how I can cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि मैं कैसे खरीद को रद्द कर सकता हूं {{ऑर्डर नंबर}},आदेश रद्द
need help with canceling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ मदद की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
I can no longer pay for purchase {{Order Number}},cancel_order,मैं अब {{ऑर्डर नंबर}} खरीदने के लिए भुगतान नहीं कर सकता,आदेश रद्द
I need help to cancel purchase370795561790,cancel_order,मुझे खरीद को रद्द करने में मदद चाहिए 370795561790,आदेश रद्द
I do not know how I can cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि मैं कैसे खरीद को रद्द कर सकता हूं {{ऑर्डर नंबर}},आदेश रद्द
I need help canceling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
what do I need to do to cancel purchase {{Order Number}}?,cancel_order,खरीद को रद्द करने के लिए मुझे क्या करने की आवश्यकता है {{ऑर्डर नंबर}}?,आदेश रद्द
want assistance cancelling order {{Order Number}},cancel_order,सहायता रद्द करना चाहते हैं आदेश {{ऑर्डर नंबर}},आदेश रद्द
want help cancelling purchase {{Order Number}},cancel_order,खरीद रद्द करने में मदद करना चाहते हैं {{ऑर्डर नंबर}},आदेश रद्द
help to cancel purchase {{Order Number}},cancel_order,खरीद रद्द करने में सहायता {{ऑर्डर नंबर}},आदेश रद्द
"I can't pay for purchase {{Order Number}}, how can I cancel it?",cancel_order,"मैं {{ऑर्डर नंबर}} खरीदने के लिए भुगतान नहीं कर सकता, मैं इसे कैसे रद्द कर सकता हूं?",आदेश रद्द
want assistance canceling purchase {{Order Number}},cancel_order,खरीद रद्द करने की सहायता चाहते हैं {{ऑर्डर नंबर}},आदेश रद्द
I don't know how to cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि कैसे खरीदें {{ऑर्डर नंबर}} को रद्द करें,आदेश रद्द
i dont want ordr {{Order Number}} could uhelp me cancel it,cancel_order,मुझे आदेश नहीं चाहिए {{ऑर्डर नंबर}} क्या आप मुझे इसे रद्द करने में मदद कर सकते हैं,आदेश रद्द
"I cannot afford order {{Order Number}}, I need help canceling it",cancel_order,"मैं आदेश {{ऑर्डर नंबर}} नहीं खरीद सकता, मुझे इसे रद्द करने में मदद चाहिए",आदेश रद्द
want assistance canceling purchase {{Order Number}},cancel_order,खरीद रद्द करने की सहायता चाहते हैं {{ऑर्डर नंबर}},आदेश रद्द
i do not know how to cancel order {{Order Number}},cancel_order,मुझे नहीं पता कि ऑर्डर {{ऑर्डर नंबर}} को कैसे रद्द करें,आदेश रद्द
I want help canceling order {{Order Number}},cancel_order,मैं आदेश रद्द करने में मदद चाहता हूं {{ऑर्डर नंबर}}},आदेश रद्द
where can I cancel purchase {{Order Number}}?,cancel_order,मैं खरीद {{ऑर्डर नंबर}} कहां रद्द कर सकता हूं?,आदेश रद्द
I need help cancelling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
I need assistance to cancel purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने के लिए सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
can you help me cancel purchase {{Order Number}}?,cancel_order,क्या आप मुझे खरीदने में मदद कर सकते हैं {{ऑर्डर नंबर}}?,आदेश रद्द
I'm trying to cancel order {{Order Number}},cancel_order,मैं ऑर्डर {{ऑर्डर नंबर}} को रद्द करने का प्रयास कर रहा हूं,आदेश रद्द
i dont know what to do to cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि खरीद रद्द करने के लिए क्या करना है {{ऑर्डर नंबर}},आदेश रद्द
I need help cancelling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
i can no longer pay fororder {{Order Number}} cancel it,cancel_order,मैं अब आदेश के लिए भुगतान नहीं कर सकता {{ऑर्डर नंबर}} इसे रद्द करें,आदेश रद्द
I don't knowhow to cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि कैसे खरीदें {{ऑर्डर नंबर}} को रद्द करें,आदेश रद्द
I do not know how I could cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि मैं कैसे खरीद को रद्द कर सकता हूं {{ऑर्डर नंबर}}},आदेश रद्द
i do not know how i can cancel order {{Order Number}},cancel_order,मुझे नहीं पता कि मैं ऑर्डर {{ऑर्डर नंबर}} को कैसे रद्द कर सकता हूं,आदेश रद्द
I don't know what to do to cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि खरीद को रद्द करने के लिए क्या करना है {{ऑर्डर नंबर}},आदेश रद्द
cance order {{Order Number}},cancel_order,रद्द करें आदेश {{ऑर्डर नंबर}},आदेश रद्द
where can I cancel purchase {{Order Number}}?,cancel_order,मैं खरीद {{ऑर्डर नंबर}} कहां रद्द कर सकता हूं?,आदेश रद्द
assistance with cancelling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ सहायता {{ऑर्डर नंबर}},आदेश रद्द
i want assistance to cancel order {{Order Number}},cancel_order,मैं आदेश {{ऑर्डर नंबर}} रद्द करने के लिए सहायता चाहता हूं,आदेश रद्द
I want assistance cancelling order {{Order Number}},cancel_order,मैं सहायता रद्द करने के आदेश को रद्द करना चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
i dont khow how to cancel order {{Order Number}},cancel_order,मुझे नहीं पता कि ऑर्डर {{ऑर्डर नंबर}} को कैसे रद्द करें,आदेश रद्द
i need assistance to cancel order {{Order Number}},cancel_order,मुझे आदेश {{ऑर्डर नंबर}} रद्द करने के लिए सहायता की आवश्यकता है,आदेश रद्द
problems with canceling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ समस्याएं {{ऑर्डर नंबर}},आदेश रद्द
canceling order {{Order Number}},cancel_order,रद्द करना आदेश {{ऑर्डर नंबर}},आदेश रद्द
"I can't pay for this item, cancel order {{Order Number}}",cancel_order,"मैं इस आइटम के लिए भुगतान नहीं कर सकता, आदेश रद्द करें {{ऑर्डर नंबर}}",आदेश रद्द
camceling order {{Order Number}},cancel_order,रद्द करना आदेश {{ऑर्डर नंबर}},आदेश रद्द
question about canceling order {{Order Number}},cancel_order,आदेश रद्द करने के बारे में प्रश्न {{ऑर्डर नंबर}},आदेश रद्द
help me cancel purchase {{Order Number}},cancel_order,मुझे खरीदने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
want assistance cancelling order {{Order Number}},cancel_order,सहायता रद्द करना चाहते हैं आदेश {{ऑर्डर नंबर}},आदेश रद्द
want asistance canceling order {{Order Number}},cancel_order,Asistance रद्द करना आदेश {{ऑर्डर नंबर}},आदेश रद्द
i need assiostance cancelling order {{Order Number}},cancel_order,मुझे Assiostance रद्द करने की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
cancelling purchase {{Order Number}},cancel_order,रद्द करना {{ऑर्डर नंबर}}},आदेश रद्द
I am trying to cancel purchaes {{Order Number}},cancel_order,मैं खरीद रद्द करने की कोशिश कर रहा हूं {{ऑर्डर नंबर}}},आदेश रद्द
i need help canceling order {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
what do I need to do to cancel purchase {{Order Number}}?,cancel_order,खरीद को रद्द करने के लिए मुझे क्या करने की आवश्यकता है {{ऑर्डर नंबर}}?,आदेश रद्द
help with cancelling purchase {{Order Number}},cancel_order,खरीद को रद्द करने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
"I bought some item, cancel order {{Order Number}}",cancel_order,"मैंने कुछ आइटम खरीदे, ऑर्डर रद्द करें {{ऑर्डर नंबर}}",आदेश रद्द
I need help with canceling purchase {{Order Number}},cancel_order,मुझे खरीद को रद्द करने में मदद चाहिए {{ऑर्डर नंबर}},आदेश रद्द
could you help me cancel purchase {{Order Number}}?,cancel_order,क्या आप मुझे खरीदने में मदद कर सकते हैं {{ऑर्डर नंबर}}?,आदेश रद्द
what do i need to do to cancel order {{Order Number}},cancel_order,आदेश {{ऑर्डर नंबर}} को रद्द करने के लिए मुझे क्या करने की आवश्यकता है,आदेश रद्द
canceling purchase {{Order Number}},cancel_order,खरीद रद्द करें {{ऑर्डर नंबर}},आदेश रद्द
I do not know how I can cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि मैं कैसे खरीद को रद्द कर सकता हूं {{ऑर्डर नंबर}},आदेश रद्द
I have problems with cancelling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में समस्या है {{ऑर्डर नंबर}},आदेश रद्द
ohw to cancel order {{Order Number}},cancel_order,ऑर्डर {{ऑर्डर नंबर}} कैसे रद्द करें,आदेश रद्द
is it possible to cxancel order {{Order Number}},cancel_order,क्या आदेश {{ऑर्डर नंबर}} को रद्द करना संभव है,आदेश रद्द
i have problems with cancelling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में समस्या है {{ऑर्डर नंबर}},आदेश रद्द
where do I cancel purchase {{Order Number}}?,cancel_order,मैं खरीद {{ऑर्डर नंबर}} कहां रद्द करूं?,आदेश रद्द
I have an question about cancelling order {{Order Number}},cancel_order,मेरे पास आदेश रद्द करने के बारे में एक प्रश्न है {{ऑर्डर नंबर}},आदेश रद्द
I would like to cancel purchase {{Order Number}},cancel_order,मैं खरीद {{ऑर्डर नंबर}} को रद्द करना चाहूंगा,आदेश रद्द
assistance canceling purchase {{Order Number}},cancel_order,सहायता रद्द खरीद {{ऑर्डर नंबर}},आदेश रद्द
I want help to cancel purchase {{Order Number}},cancel_order,मैं खरीद को रद्द करने के लिए {{ऑर्डर नंबर}} को रद्द करना चाहता हूं,आदेश रद्द
I am trying to cancel purchase {{Order Number}},cancel_order,मैं खरीद रद्द करने की कोशिश कर रहा हूं {{ऑर्डर नंबर}}},आदेश रद्द
cancelling purchase {{Order Number}},cancel_order,रद्द करना {{ऑर्डर नंबर}}},आदेश रद्द
can you help me cancelling purchase {{Order Number}}?,cancel_order,क्या आप मुझे {{ऑर्डर नंबर}} खरीदने में मदद कर सकते हैं?,आदेश रद्द
i need assistance cancelling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
camceling order {{Order Number}},cancel_order,रद्द करना आदेश {{ऑर्डर नंबर}},आदेश रद्द
need assistance canceling order {{Order Number}},cancel_order,आदेश रद्द करने की आवश्यकता है आदेश {{आदेश संख्या}}},आदेश रद्द
help me cancel purchase {{Order Number}},cancel_order,मुझे खरीदने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
problems with cancelling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ समस्याएं {{ऑर्डर नंबर}},आदेश रद्द
i need assistance with canceling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने के साथ सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
help me to cancel order  {{Order Number}},cancel_order,आदेश {{ऑर्डर नंबर}} को रद्द करने में मेरी सहायता करें,आदेश रद्द
I can no longer afford order {{Order Number}},cancel_order,मैं अब आदेश नहीं दे सकता {{ऑर्डर नंबर}},आदेश रद्द
i do not know what to do to cancel order {{Order Number}},cancel_order,मुझे नहीं पता कि आदेश {{ऑर्डर नंबर}} को रद्द करने के लिए क्या करना है,आदेश रद्द
i no longer want order {{Order Number}},cancel_order,मैं अब आदेश {{ऑर्डर नंबर}} नहीं चाहता,आदेश रद्द
I want assistance canceling order {{Order Number}},cancel_order,मैं सहायता रद्द करने के आदेश को रद्द करना चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
